resource_id;site_id;name;address;lat;lng;address_1;address_2;city;state;zip;deleted;Phone Number;Working Hours;PPO Insurances Accepted;HMO Insurances Accepted;Medicaid Accepted;Medicare Accepted?;Medicare Managed (Advantage) Plans;Self-pay accepted? Fees;Languages/interpreter services;Services;Transportation assistance;Patient Portal;Website where info found
25;27;Vacaville Town Square Library;1 Town Square Pl, Vacaville, CA 95688;38.35738270;-121.98725500;1 Town Square Pl;;Vacaville;CA;95688;0;(866) 572-7587;Mon 9:00 AM - 6:00 PM, Tue 9:00 AM - 6:00 PM, Wed 9:00 AM - 6:00 PM, Thu 9:00 AM - 6:00 PM, Fri 9:00 AM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://solanolibrary.com/hours-and-locations/vacaville-town-square-library/
26;51;Leather by Libraries;1 University Dr, Orange, CA 92866;33.79316760;-117.85232340;1 University Dr;;Orange;CA;92866;0;(714) 532-7756;Mon 7:00 AM - 12:00 AM, Tue 7:00 AM - 12:00 AM, Wed 7:00 AM - 12:00 AM, Thu 7:00 AM - 12:00 AM, Fri 7:00 AM - 12:00 AM, Sat 8:00 AM - 12:00 AM, Sun 8:00 AM - 12:00 AM;;;;;;;;;;;https://www.chapman.edu/library/index.aspx
27;17;San Francisco Municipal Transportation Agency;1 Van Ness Ave, San Francisco, CA 94103;37.77489070;-122.41892490;1 Van Ness Ave;;San Francisco;CA;94103;0;(415) 701-2311;;;;;;;CALL FOR FEES;;PUBLIC TRANSPORTATION;;;https://www.sfmta.com/
28;17;Mayor's Office of Housing and Community Development;1 Van Ness Ave, Ste 5, San Francisco, CA 94103;37.77496650;-122.41876820;1 Van Ness Ave;Ste 5;San Francisco;CA;94103;0;(415) 701-5500;Mon 9:00 AM - 5:00 PM, Tue 9:00 AM - 5:00 PM, Wed 9:00 AM - 5:00 PM, Thu 9:00 AM - 5:00 PM, Fri 9:00 AM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://sf.gov/
35;32;County of Marin - Road to Recovery;10 N San Pedro Rd, San Rafael, CA 94903;37.99495010;-122.52962810;10 N San Pedro Rd;;San Rafael;CA;94903;0;(415) 473-2555;Mon 8:00 AM - 4:30 PM, Tue 8:00 AM - 4:30 PM, Wed 8:00 AM - 4:30 PM, Thu 8:00 AM - 4:30 PM, Fri 8:00 AM - 4:30 PM, Sat Closed, Sun Closed;No;No;Drug Medi-Cal and Partnership Plans;;No;No;;General Outpatient Co-Occurring SUD/SMI;;;
37;0;Sacramento Colon and Rectal Surgery Group;10 Sierra Gate Plz, Ste 120, Roseville, CA 95678;38.75481140;-121.26710790;10 Sierra Gate Plz;Ste 120;Roseville;CA;95678;0;(916) 960-0466;Mon 9:00 AM - 5:00 PM, Tue 9:00 AM - 5:00 PM, Wed 9:00 AM - 5:00 PM, Thu 9:00 AM - 5:00 PM, Fri 9:00 AM - 5:00 PM, Sat Closed, Sun Closed;no;Aetna: Health Fund H, MOHMO, HMO Deductible Plans Alignment Anthem Blue Cross of California, Anthem Blue Cross HMO,  Anthem Blue Cross HMO, Blue Shield Access+ HMO Plan Cigna: Commercial HMO, Network HMO, Health Net - Currently in 2021 Contract Negotiations, Health Net Healthy Heart HMO, Health Net HMO: Large Group (101+ employees) & Small Group (2-100 employees), Health Net Seniority Plus Green, HMO - Flex Funded, Salud HMO Plus Large/Custom Group, Sutter Health Plus, HMO Plan, Individual and Family Plan HMO, Large and Small Group HMO Health Plan of Nevada (HMO), Signature Value (HMO) Signature Value Alliance HMO (includes CalPERS & AON Exchange);no;;Aetna Alignment Health Plan Sutter Advantage (Medicare Advantage HMO), UnitedHealthCare - Currently in 2021 Contract Negotiations, AARP Medicare Complete Assure Plan (HMO), AARP Medicare Complete Secure Horizon (HMO), AARP Medicare Complete Secure Horizon (HMO) Employer Group, AARP Medicare Complete Secure Horizons Focus (HMO), AARP Medicare Complete Secure Horizons Plan 1 (HMO);Yes;Arabic, English;Ask a responsible adult, such as a friend or family member, to drive you to and from the surgery center and stay with you after you return home. You will not be permitted to leave the surgery center alone in a taxi. If you arrive unaccompanied by a responsible adult, we will be forced to postpone your procedure.;;;http://scrs1.org/
40;49;Calabasas Disability Related Transportation;100 Civic Center Way, Calabasas, CA 91302;34.15250720;-118.64721670;100 Civic Center Way;;Calabasas;CA;91302;0;(818) 224-1600;Mon 8:00 AM - 5:00 PM, Tue 8:00 AM - 5:00 PM, Wed 8:00 AM - 5:00 PM, Thu 8:00 AM - 5:00 PM, Fri 8:00 AM - 5:00 PM, Sat 9:00 AM - 5:00 PM, Sun Closed;;;;;;$2.50 each way per ride;;;;;https://www.211la.org/resources/service/disability-related-transportation-72
48;35;Pleasant Hill Library - Contra Costa County Library;100 Gregory Ln, Pleasant Hill, CA 94523;37.94728450;-122.06376980;100 Gregory Ln;;Pleasant Hill;CA;94523;0;(925) 646-6434;Mon Closed, Tue 12:00 PM - 8:00 PM, Wed 12:00 PM - 8:00 PM, Thu Closed, Fri 9:00 AM - 5:00 PM, Sat 9:00 AM - 5:00 PM, Sun Closed;;;;;;;;;;;https://ccclib.org/locations/43/
49;17;San Lorenzo Family Help Center;100 Hacienda Ave, San Lorenzo, CA 94580;37.67694540;-122.11593500;100 Hacienda Ave;;San Lorenzo;CA;94580;0;(510) 361-0080;Mon 10:30 AM - 12:00 PM, Tue 10:30 AM - 12:00 PM, Wed 1:00 PM - 3:00 PM, Thu 10:30 AM - 12:00 PM, Fri 10:30 AM - 12:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://www.slzhelp.org/
50;26;Sutter Medical Foundation;100 Hospital Dr, Vallejo, CA 94589;38.13146800;-122.24050610;100 Hospital Dr;;Vallejo;CA;94589;0;(707) 427-4900;Mon 8:00 AM - 5:00 PM, Tue 8:00 AM - 5:00 PM, Wed 8:00 AM - 5:00 PM, Thu 8:00 AM - 5:00 PM, Fri 8:00 AM - 5:00 PM, Sat Closed, Sun Closed;Yes;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;https://www.sutterhealth.org
51;0;Snowline Hospice - Sacramento;100 Howe Ave, Ste 240N, Sacramento, CA 95825;38.56499550;-121.40722280;100 Howe Ave;Ste 240N;Sacramento;CA;95825;0;(916) 817-2338;Mon 9:00 AM - 5:00 PM, Tue 9:00 AM - 5:00 PM, Wed 9:00 AM - 5:00 PM, Thu 9:00 AM - 5:00 PM, Fri 9:00 AM - 5:00 PM, Sat Closed, Sun Closed;Hospice benefits are included in Medicare and Medi-Cal and most health insurance plans. The uninsured and palliative care recipients are also served at Snowline through funds received from the proceeds of Snowline's six thrift stores, a recycle and repurpose processing center enterprise, individual donations, fundraisers, and the United Way, At Snowline, neither patient nor family will ever receive a bill for services;Yes, most HMO's are accepted;Yes, we accept Medi-Cal;;;;;;;;https://snowlinehospice.org/our-services/hospice-services
52;21;The Salvation Army - Roseville Corps;100 Lincoln St, Roseville, CA 95678;38.74959290;-121.28208300;100 Lincoln St;;Roseville;CA;95678;0;(916) 784-3382;Mon Closed, Tue Closed, Wed Closed, Thu Closed, Fri 11:00 AM - 12:00 PM, Sat 9:00 AM - 10:00 AM, Sun Closed;;;;;;;;;;;https://roseville.salvationarmy.org
54;27;Self Care Counseling Marriage Family and Child Therapy;100 N Brand Blvd, Ste 223, Glendale, CA 91203;34.14651910;-118.25473770;100 N Brand Blvd;Ste 223;Glendale;CA;91203;0;(213) 347-4740;Mon 9:00 AM - 9:00 PM, Tue 9:00 AM - 9:00 PM, Wed 9:00 AM - 9:00 PM, Thu 9:00 AM - 9:00 PM, Fri 9:00 AM - 9:00 PM, 9:00 AM - 6:00 PM, Sat 9:00 AM - 6:00 PM, Sun Closed;;;;;;Yes;;Individual Therapy, Couples Therapy, Family Therapy, Child & Adolescent Therapy, Telehealth (Video & Phone) Therapy;NO;No patient portal;https://selfcareca.com/
55;33;Diablo Valley Drug and Alcohol Services;100 Park Pl, Ste 120, San Ramon, CA 94583;37.77250720;-121.98961100;100 Park Pl;Ste 120;San Ramon;CA;94583;0;(925) 289-1430;Mon 9:00 AM - 5:00 PM, Tue 9:00 AM - 5:00 PM, Wed 9:00 AM - 5:00 PM, Thu 9:00 AM - 5:00 PM, Fri 9:00 AM - 5:00 PM, Sat Closed, Sun Closed;Aetna, Anthem Blue Cross, Blue Shield, Cigna, United HealthCare;Yes;;;;;;substance Abuse, opioid Addiction, Alcohol Dependency, Recovery programs and more also treats depression and anxiety;;;https://www.diablovalleytreatment.com/?utm_source=gmb_auth
58;0;Eagle Vision Eye Care Optometric Group;100 S Harding Blvd, Roseville, CA 95678;38.74352210;-121.27267320;100 S Harding Blvd;;Roseville;CA;95678;0;(916) 783-8109;Mon 8:30 AM - 5:30 PM, Tue 8:30 AM - 5:30 PM, Wed 8:30 AM - 5:30 PM, Thu 8:30 AM - 5:30 PM, Fri 8:30 AM - 5:30 PM, Sat Closed, Sun Closed;VSP, Medicare, Davis Vision See Life, Eye Med, MES vision, Anthem with VSP;;straight Medical;;straight Medicare;$100 flat fee for self-pay;Spanish, Russian, Ukrainian;Family Vision Care for all ages, Contact lens fitting, Hard to fit Contact lenses, Low Vision Therapy for patients with Macular Degeneration, Home delivery of Contact Lenses;no;;https://www.michaeljohnsonod.com/
59;31;Catholic Charities Clean Start Mobile Showers;100 Santa Rosa Ave, Santa Rosa, CA 95404;38.43805100;-122.71147560;100 Santa Rosa Ave;;Santa Rosa;CA;95404;0;(855) 707-HOST;Mon Closed, Tue Closed, Wed Closed, Thu Closed, Fri Closed, Sat 10:00 AM - 1:00 PM, Sun Closed;;;;;;;;;;;https://homelessaction.net/showers-toilets/
61;32;Nelson Staffing;100 Smith Ranch Rd, Unit 309, San Rafael, CA 94903;38.01914960;-122.53402980;100 Smith Ranch Rd;Unit 309;San Rafael;CA;94903;0;(415) 479-5101;Mon 8:00 AM - 5:00 PM, Tue 8:00 AM - 5:00 PM, Wed 8:00 AM - 5:00 PM, Thu 8:00 AM - 5:00 PM, Fri 8:00 AM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://nelsonjoBlue Shield.com/about/locations/san-rafael/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=mybusiness
65;0;New Hope Village, Inc - Barstow, CA;100 W Fredricks St, Barstow, CA 92311;34.89633920;-117.02793160;100 W Fredricks St;;Barstow;CA;92311;0;(760) 256-1900;Mon Closed, Tue 9:00 AM - 4:30 PM, Wed 9:00 AM - 4:30 PM, Thu 9:00 AM - 4:30 PM, Fri Closed, Sat Closed, Sun Closed;;;;;;;;;;;https://newhopevillageinc.org/
80;0;Kelly Services;1000 Lakes Dr, Ste 140, West Covina, CA 91790;34.07147880;-117.92353640;1000 Lakes Dr;Ste 140;West Covina;CA;91790;0;(626) 919-6330;;;;;;;;;;;;https://www.kellyservices.us/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=all_both_local-listings&utm_content=westcovina-ca
87;32;Flash Gordon, MD;1000 S Eliseo Dr, Ste 204, Greenbrae, CA 94904;37.94380950;-122.53341550;1000 S Eliseo Dr;Ste 204;Greenbrae;CA;94904;0;(415) 461-2262;Mon 10:00 AM - 5:00 PM, Tue 10:00 AM - 5:00 PM, Wed 1:30 PM - 6:30 PM, Thu 10:00 AM - 5:00 PM, Fri 10:00 AM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;SculpSure, Primary Care, Asthma, Chronic Pain, High Blood Pressure, Depression, MDVIP, Anxiety Disorders;;;https://www.rossvalleyMedi-Cal.com/
89;21;Placer County Human Services Rocklin;1000 Sunset Blvd, Ste 220, Rocklin, CA 95765;38.81590090;-121.28927960;1000 Sunset Blvd;Ste 220;Rocklin;CA;95765;0;(916) 784-6000;Mon 1:00 PM - 5:00 PM, Tue 1:00 PM - 5:00 PM, Wed 1:00 PM - 5:00 PM, Thu 1:00 PM - 5:00 PM, Fri 1:00 PM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://www.placer.ca.gov/
93;51;Orange County Global Medi-Cal Center;1001 N Tustin Ave, Santa Ana, CA 92705;33.75428390;-117.83280060;1001 N Tustin Ave;;Santa Ana;CA;92705;0;(714) 953-3500;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;;;;;;;;;;;
95;0;The Shower of Hope - Westlake - 10th and Parkview;1001 S Parkview St, Los Angeles, CA 90006;34.05333400;-118.28332600;1001 S Parkview St;;Los Angeles;CA;90006;0;;Mon Closed, Tue 10:00 AM - 2:00 PM, Wed Closed, Thu Closed, Fri Closed, Sat Closed, Sun Closed;;;;;;;;;;;http://theshowerofhope.org/resources/
97;0;Arbor View Dental Group;10014 Foothills Blvd, Roseville, CA 95747;38.79730630;-121.31417520;10014 Foothills Blvd;;Roseville;CA;95747;0;(916) 780-2262;Mon 9:00 AM - 6:00 PM, Tue 8:00 AM - 5:00 PM, Wed 9:00 AM - 6:00 PM, Thu 8:00 AM - 5:00 PM, Fri By Appointment, Sat Closed, Sun Closed;Most major dental insurances are accepted. Including Met LIfe, Delta Dental, CIGNA;No;No;;;Yes;Spanish;No;;No patient portal;https://www.arborviewdentalgroup.com/
98;54;CARE Ambulance, Inc - Station 503;10018 Lower Azusa Rd, El Monte, CA 91731;34.09023520;-118.04829420;10018 Lower Azusa Rd;;El Monte;CA;91731;0;(714) 288-3800;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;;;;;;;;NON-EMERGENCY Medi-Cal TRANSPORTATION;;;https://careambulance.net/contact-us.html
100;26;Springstowne Library;1003 Oakwood Ave, Vallejo, CA 94591;38.10408990;-122.21826540;1003 Oakwood Ave;;Vallejo;CA;94591;0;(866) 572-7587;Mon 9:00 AM - 6:00 PM, Tue 9:00 AM - 6:00 PM, Wed 9:00 AM - 6:00 PM, Thu 9:00 AM - 6:00 PM, Fri 9:00 AM - 5:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://solanolibrary.com/hours-and-locations/vallejo-springstowne-library/
101;32;Marin Services for Men;1005 A St, Ste 209, San Rafael, CA 94901;37.96610900;-122.53542250;1005 A St;Ste 209;San Rafael;CA;94901;0;(415) 485-6736;;;;;;;;;"We provide the support of a surrogate family structure in which the residents are able to regain personal responsibility for their lives. Mentorship from alumni and individuals with long-term recovery serves to provide our residents with the tools necessary to achieve and maintain on-going ""clean"" time and sobriety. We believe in the unparalleled value of one addict helping and supporting another. This access to peer support from successful men in recovery empowers our residents through role-modeling the appropriate attitudes and behaviors necessary to achieve permanent, long-term recovery.";;;
102;0;CVS Pharmacy - Store #9923 - Bidwell Street Location;1005 E Bidwell St, Folsom, CA 95630;38.66859090;-121.15639970;1005 E Bidwell St;;Folsom;CA;95630;0;(916) 983-5366;Mon 9:00 AM - 8:00 PM, Tue 9:00 AM - 8:00 PM, Wed 9:00 AM - 8:00 PM, Thu 9:00 AM - 8:00 PM, Fri 9:00 AM - 8:00 PM, Sat 10:00 AM - 5:00 PM, Sun 10:00 AM - 5:00 PM;Aetna, Allwell, Amerigroup, Anthem, Anthem, Anthem. HealthKeepers, Blue Shield of California, Capital Blue, Clear Spring Health, Community Care Alliance, Empire BlueCross (An Anthem Company), EnvisionRxPlus, Eon Health, Essence Healthcare, Global Health, Hap, Health Net, Highmark BlueCross BlueShield, Horizon Blue Cross Shield, Innovation Health Aetna, MetroPlus Health plan, MutualofOmaha Rx, Premera Blue cross, Scan Health plan, Silver Script, Simply Healthcare, Ucare, Unicare (an Anthem Company);Viva Medicare (HMO). CVS Pharmacy(R) is preferred with some Medicare Part D plans. CVS Pharmacy accepts most Medicare Part D plans and does not endorse any particular plan;Check with your insurance provider to determine coverage. We currently do not accept Medicaid from other states;;Express Scripts Medicare (PDP), Independence Medicare, Piedmont medicare advantage, MedicareBlue Rx (PDP);;;Refill Prescriptions, Transfer Rx to CVS, View/Print Prescription Rapid Refill;;;https://www.cvs.com/store-locator/cvs-pharmacy-address/1005+East+Bidwell+Street-Folsom-CA-95630/storeid=9923?WT.mc_id=LS_GOOGLE_FS_9923
103;0;Congregational Network Shelter Program;1005 E Las Tunas Blvd, Ste 525, San Gabriel, CA 91776;34.10371600;-118.08583500;1005 E Las Tunas Blvd;Ste 525;San Gabriel;CA;91776;0;(626) 569-0991;Mon 8:00 AM - 4:00 PM, Tue 8:00 AM - 4:00 PM, Wed 8:00 AM - 4:00 PM, Thu 8:00 AM - 4:00 PM, Fri 8:00 AM - 4:00 PM, Sat Closed, Sun Closed;;;;;;;;;;;https://www.familypromisesgv.org/about-us/
107;21;AKUA Mind & Body - Mental Health & Drug Addiction Treatment;10087 Terra Loma Dr, Rancho Cordova, CA 95670;38.58409020;-121.31781580;10087 Terra Loma Dr;;Rancho Cordova;CA;95670;0;(888) 834-2582;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;;;;;;;;AKUA, MIND BODY, DETOX, RESIDENTIAL , PHP, IOP, MENTAL HEALTH, DEPRESSION, PTSD, ANXIETY, BIPOLAR, CODENDECY, OCD , PERSONALITY DISORDER;;;https://www.akuamindbody.com/
108;0;American MedEquip ;1009 Enterprise Way, Ste 100, Roseville, CA 95678;38.74154140;-121.30757410;1009 Enterprise Way;Ste 100;Roseville;CA;95678;0;(916) 791-2266;Mon 9:00 AM - 6:00 PM, Tue 9:00 AM - 6:00 PM, Wed 9:00 AM - 6:00 PM, Thu 9:00 AM - 6:00 PM, Fri 9:00 AM - 6:00 PM, Sat Closed, Sun Closed;No, only self-pay;No, only self-pay;No, only self-pay;;No;Self-pay only.;;;;;https://www.americanmedequipstore.com/
110;0;Owl Western Pharmacy;1009 W San Bernardino Rd, Covina, CA 91722;34.08940750;-117.91020160;1009 W San Bernardino Rd;;Covina;CA;91722;0;(626) 962-1061;Mon 9:00 AM - 6:00 PM, Tue 9:00 AM - 6:00 PM, Wed 9:00 AM - 6:00 PM, Thu 9:00 AM - 6:00 PM, Fri 9:00 AM - 6:00 PM, Sat 9:00 AM - 1:00 PM, Sun Closed;;;;;;;;;;;http://owlrexall.com/contact/
111;31;New Life Program;101 6th St, Santa Rosa, CA 95401;38.43901770;-122.72153400;101 6th St;;Santa Rosa;CA;95401;0;(707) 542-4817;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;None;None;None;;None;Free based on donations;;A 12-18 month faith-based residential substance abuse recovery program for men who wish to put their addictions behind them and start a new life. If you are in need of help from this program, click on the link to download pdf application. To fill out the online application click on the link to apply online.;;;https://www.srmission.org/ministries
118;51;St. Jude Medi-Cal Center Wound Care and Hyperbaric Center;101 E Valencia Mesa Dr, Fullerton, CA 92835;33.89434510;-117.92722010;101 E Valencia Mesa Dr;;Fullerton;CA;92835;0;(714) 992-3000;Mon 8:00 AM - 4:30 PM, Tue 8:00 AM - 4:30 PM, Wed 8:00 AM - 4:30 PM, Thu 8:00 AM - 4:30 PM, Fri 8:00 AM - 4:30 PM, Sat Closed, Sun Closed;;;Yes;;;Yes;Yes;Wound Care and Hyperbaric;Yes;Yes;https://www.providence.org/locations/st-jude-Medi-Cal-center/wound-care-and-hyperbaric-center?y_source=1_MTQxNjY2NDItNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl#llaid=2366
122;31;Men's Mission - Redwood Gospel Mission;101 Sixth St, Santa Rosa, CA 95401;38.43901770;-122.72153400;101 Sixth St;;Santa Rosa;CA;95401;0;(707) 542-4817;Mon Open 24 hours, Tue Open 24 hours, Wed Open 24 hours, Thu Open 24 hours, Fri Open 24 hours, Sat Open 24 hours, Sun Open 24 hours, Holidays Open 24 hours;;;;;;;;;;;https://srmission.org/ministries
